ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/15/2016,7/17/2016,2,1
Caribou Munroes,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/7/2016,7/8/2016,1,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/30/2016,8/31/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/5/2016,9/7/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/8/2016,7/10/2016,2,1
Battery,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/29/2016,7/30/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/17/2016,8/22/2016,5,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,9/2/2016,9/5/2016,3,1
Rissers Beach,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,6/29/2016,6/30/2016,1,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,6/18/2016,6/19/2016,1,1
Graves Island,NS ,CANADA ,3,1,4,Full,CampsitePermit,Tents,7/7/2016,7/10/2016,3,1
Blomidon,BC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/21/2016,7/23/2016,2,1
Whycocomagh,QC ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,9/18/2016,9/21/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,5/27/2016,5/29/2016,2,1
Smileys,NS ,CANADA ,1,3,4,Full,CampsitePermit,Less than 20ft,9/16/2016,9/18/2016,2,1
Ellenwood Lake,NS ,CANADA ,3,1,4,Full,CampsitePermit,Single Tent,8/19/2016,8/21/2016,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,7/1/2016,7/3/2016,2,1
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/22/2016,7/23/2016,1,1
Graves Island,NS ,CANADA ,2,2,4,Senior,CampsitePermit,Less than 30ft,8/5/2016,8/8/2016,3,1
Graves Island,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,9/17/2016,9/18/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,10/7/2016,10/9/2016,2,1
Mira River,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/27/2016,7/29/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/28/2016,7/29/2016,1,1
Amherst Shore,NB ,CANADA ,4,,4,Full,CampsitePermit,Single Tent,10/1/2016,10/2/2016,1,1
Blomidon,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/16/2016,8/17/2016,1,1
Cape Chignecto,PE ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,9/2/2016,9/5/2016,3,1
